bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
refrigerante,borda tradicional,palmito,NA,NA,NA,NA,massa tradicional,mussarela,catupiry
limonada,borda tradicional,pepperoni,tomate,azeite de oliva,NA,NA,massa tradicional,mussarela,parmesão
suco de maracujá,sabor catupiry,queijo gouda,frango,bacon,tomate,palmito,massa tradicional,mussarela,queijo feta
refrigerante,sabor catupiry,tomate,bacon,linguiça calabresa defumada,alho,tomate seco,massa grossa,mussarela,gorgonzola
limonada,borda tradicional,tomate,anchova,NA,NA,NA,massa tradicional,mussarela,NA
suco de laranja,borda tradicional,cogumelos,azeitona,brócolis,alho-poró,carne seca,massa grossa,mussarela,queijo coalho
cerveja,borda tradicional,pepperoni,cebola,rúcula,azeite de oliva,bacon,massa final,mussarela,cheddar
suco de maracujá,cheddar,frango,bacon,orégano,milho,NA,massa tradicional,mussarela,catupiry
água com gás,borda tradicional,pepperoni,cogumelos,cebola,tomate,abacaxi,massa tradicional,parmesão,NA
refrigerante,borda tradicional,pepperoni,cebola,azeite de oliva,orégano,rúcula,massa tradicional,parmesão,mussarela
água com gás,cheddar,cebola,pimentão,linguiça calabresa defumada,frango,milho,massa tradicional,cheddar,provolone
refrigerante,cheddar,tomate,alho,pimentão,cebola,palmito,massa tradicional,catupiry,queijo brie
suco de laranja,cream cheese,alho,presunto,bacon,tomate,cebola,massa final,mussarela,parmesão
refrigerante,sabor catupiry,brócolis,tomate,tomate seco,bacon,rúcula,massa grossa,gorgonzola,mussarela
refrigerante,sabor catupiry,tomate,calabresa,NA,NA,NA,massa tradicional,mussarela,queijo coalho
cerveja,cream cheese,alho,azeitona,azeite de oliva,pepperoni,orégano,massa final,mussarela,gorgonzola
refrigerante,borda tradicional,palmito,pepperoni,bacon,calabresa,picles,massa tradicional,parmesão,gorgonzola
suco de laranja,sabor catupiry,calabresa,milho,bacon,frango,azeitona,massa grossa,mussarela,gorgonzola
suco de laranja,cheddar,alho,pepperoni,azeitona,cebola,milho,massa tradicional,mussarela,cheddar
vinho tinto,borda tradicional,tomate,cogumelos,cebola,pepperoni,azeite de oliva,massa tradicional,mussarela,parmesão
cerveja,borda tradicional,cebola,alho,bacon,azeitona,brócolis,massa tradicional,mussarela,parmesão
vinho tinto,cream cheese,cebola,tomate,carne seca,pimenta biquinho,orégano,massa final,mussarela,gorgonzola
vinho tinto,sabor catupiry,queijo gouda,carne seca,NA,azeite de oliva,NA,massa final,queijo brie,catupiry
refrigerante,sabor catupiry,calabresa,cebola,queijo gouda,cebola caramelizada,salsinha,massa tradicional,mussarela,provolone
cerveja,borda tradicional,cogumelos,azeite de oliva,tomate seco,brócolis,alho-poró,massa tradicional,mussarela,parmesão
suco de abacaxi,cream cheese,tomate,azeite de oliva,cogumelos,cogumelos,pimentão,massa tradicional,queijo brie,parmesão
refrigerante,cream cheese,frango,bacon,calabresa,NA,NA,massa grossa,mussarela,catupiry
refrigerante,borda tradicional,tomate,cebola,presunto,azeitona,ovo,massa final,mussarela,parmesão
refrigerante,sabor catupiry,tomate,presunto,cebola,azeite de oliva,alho,massa final,gorgonzola,mussarela
limonada,sabor catupiry,brócolis,tomate,milho,queijo coalho grelhado,azeitona,massa grossa,provolone,mussarela
suco de maracujá,borda tradicional,pepperoni,azeite de oliva,tomate,ovo,cebola,massa final,mussarela,catupiry
suco de maracujá,borda tradicional,azeitona,orégano,tomate,azeite de oliva,NA,massa tradicional,mussarela,NA
suco de laranja,sabor catupiry,azeitona,calabresa,carne seca,NA,NA,massa tradicional,mussarela,mussarela
refrigerante,sabor catupiry,pepperoni,azeitona,presunto,orégano,pimenta calabresa,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,linguiça calabresa defumada,carne seca,pimenta calabresa,NA,NA,massa grossa,mussarela,NA
vinho tinto,cheddar,orégano,bacon,linguiça calabresa defumada,azeitona,presunto,massa final,mussarela,parmesão
refrigerante,sabor catupiry,calabresa,frango,carne seca,azeitona,tomate,massa tradicional,mussarela,catupiry
refrigerante,cheddar,azeitona,bacon,orégano,ovo,cebola,massa tradicional,mussarela,cheddar
refrigerante,borda tradicional,cebola,presunto,tomate,milho,ovo,massa final,mussarela,NA
chá gelado,sabor catupiry,pepperoni,cebola,calabresa,uva passa,azeite de oliva,massa final,mussarela,catupiry
água com gás,sabor catupiry,palmito,cebola,tomate,alho-poró,picles,massa final,mussarela,catupiry
cerveja,borda tradicional,tomate,alho,cebola,rúcula,bacon,massa tradicional,gorgonzola,queijo brie
vinho tinto,borda tradicional,tomate,frango,orégano,queijo gouda,cebola caramelizada,massa final,parmesão,queijo brie
cerveja,sabor catupiry,pepperoni,calabresa,cogumelos,tomate,ovo,massa final,provolone,mussarela
cerveja,borda tradicional,calabresa,cogumelos,anchova,tomate,abobrinha,massa final,mussarela,gorgonzola
suco de maracujá,sabor catupiry,bacon,milho,palmito,NA,NA,massa grossa,parmesão,provolone
cerveja,borda tradicional,calabresa,azeitona,tomate seco,azeite de oliva,orégano,massa tradicional,provolone,ricota
refrigerante,cheddar,cogumelos,alho,presunto,brócolis,carne seca,massa tradicional,gorgonzola,mussarela
cerveja,borda tradicional,cogumelos,tomate,azeitona,azeite de oliva,cebolinha,massa final,gorgonzola,mussarela
vinho tinto,cream cheese,tomate,azeitona,carne seca,queijo de cabra,cogumelos,massa tradicional,gorgonzola,provolone
suco de laranja,sabor catupiry,bacon,frango,camarão,pimenta calabresa,cebolinha,massa tradicional,mussarela,parmesão
chá gelado,sabor catupiry,pepperoni,bacon,azeitona,calabresa,milho,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,tomate,alho,cogumelos,palmito,espinafre,massa final,mussarela,gorgonzola
refrigerante,cheddar,tomate,presunto,queijo cheddar,rúcula,cebola,massa tradicional,mussarela,cheddar
refrigerante,borda tradicional,calabresa,azeitona,ovo,NA,NA,massa grossa,mussarela,parmesão
vinho tinto,borda tradicional,tomate,cebola,cogumelos,alho,azeite de oliva,massa tradicional,gorgonzola,queijo brie
cerveja,sabor catupiry,pepperoni,bacon,calabresa,atum,tomate seco,massa tradicional,mussarela,gorgonzola
limonada,borda tradicional,azeitona,tomate,azeite de oliva,orégano,bacon,massa final,mussarela,queijo brie
suco de maracujá,sabor catupiry,pepperoni,alho,bacon,orégano,queijo gouda,massa tradicional,mussarela,provolone
suco de abacaxi,borda tradicional,alho,tomate,azeitona,orégano,carne seca,massa tradicional,mussarela,parmesão
